Node,Rank
Cyanidiales sp. CCMEE 5580,species
Cyanidiales sp. CCMEE 5584,species
Cyanidiales sp. CCMEE 5585,species
Cyanidiales sp. CCMEE 5593,species
Cyanidiales sp. CCMEE 5602,species
Cyanidiales sp. CCMEE 5605,species
Cyanidiales sp. CCMEE 5609,species
Cyanidiales sp. CCMEE 5610,species
Cyanidiales sp. CCMEE 5611,species
Cyanidiales sp. CCMEE 5612,species
Cyanidiales sp. CCMEE 5614,species
Cyanidiales sp. CCMEE 5615,species
Cyanidiales sp. CCMEE 5617,species
Cyanidiales sp. CCMEE 5624,species
Cyanidiales sp. CCMEE 5625,species
Cyanidiales sp. CCMEE 5633,species
Cyanidiales sp. CCMEE 5636,species
Cyanidiales sp. CCMEE 5639,species
Cyanidiales sp. CCMEE 5640,species
Cyanidiales sp. CCMEE 5647,species
Cyanidiales sp. CCMEE 5651,species
Cyanidiales sp. CCMEE 5652,species
Cyanidiales sp. CCMEE 5654,species
Cyanidiales sp. OC1A-12,species
Cyanidiales sp. OC1A-22,species
Cyanidiales sp. OC3C-10,species
Cyanidiales sp. OC3C-16,species
Cyanidiales sp. RS1J-14,species
Cyanidiales sp. RS1J-5,species
Cyanidiales sp. RS1N-10,species
Cyanidiales sp. RS1N-9,species
Cyanidiales sp. DJS-2012,species
Cyanidiales sp. CYAS,species
Cyanidioschyzonaceae,family
unclassified Cyanidioschyzonaceae,no rank
Cyanidioschyzonaceae sp. 1 FvB-2021,species
Cyanidioschyzonaceae sp. 2 FvB-2021,species
Cyanidioschyzonaceae sp. 1,species
Cyanidioschyzonaceae sp. 2,species
Cyanidioschyzonaceae sp. 3,species
environmental samples,no rank
uncultured Bangiophyceae,species
Cavernulicolales,order
Cavernulicolaceae,family
Cavernulicola,genus
Cavernulicola chilensis,species
Gronococcus,genus
Gronococcus sybilensis,species
Sciadococcus,genus
Sciadococcus taiwanensis,species
Galdieriales,order
Galdieriaceae,family
Galdieria,genus
Galdieria partita,species
Galdieria sulphuraria,species
Galdieria daedala,species
Galdieria maxima,species
unclassified Galdieria,no rank
Galdieria sp. CCMEE 5511,species
Galdieria sp. CCMEE 5572,species
Galdieria sp. CCMEE 5573,species
Galdieria sp. CCMEE 5574,species
Galdieria sp. CCMEE 5609,species
Galdieria sp. CCMEE 5620,species
Galdieria sp. CCMEE 5631,species
Galdieria sp. CCMEE 5657,species
Galdieria sp. CCMEE 5658,species
Galdieria sp. CCMEE 5659,species
Galdieria sp. CCMEE 5660,species
Galdieria sp. CCMEE 5661,species
Galdieria sp. CCMEE 5662,species
Galdieria sp. CCMEE 5663,species
Galdieria sp. CCMEE 5664,species
Galdieria sp. CCMEE 5665,species
Galdieria sp. CCMEE 5667,species
Galdieria sp. CCMEE 5668,species
Galdieria sp. CCMEE 5669,species
Galdieria sp. CCMEE 5670,species
Galdieria sp. CCMEE 5671,species
Galdieria sp. CCMEE 5672,species
Galdieria sp. CCMEE 5673,species
Galdieria sp. CCMEE 5674,species
Galdieria sp. CCMEE 5675,species
Galdieria sp. CCMEE 5676,species
